বাংলা,চট্টগ্রাম
রাতে খাওয়া শেষ করে দেখাই,রাইতে হাওন শেষ গরে দেহাই
একটু পর সে এসে গেল,এক্কানা ফর ইতে আই গিল
এমন সময় কি যেন একটা হল,এন সমত কি যেন উজ্ঞো অইল
ভিতরে থাকা মেয়ে তার দিকে দেখে,বিতুরে থাওন মাইয়্যা ইতার মিক্কে চ্যাঁই
তারা মেয়ের সামনে আছে,ইতারা মাইয়্যার সামনে আছে
এই মেয়ে তার নিজের,এই মাইয়্যা ইতার নিজর
মেয়ের চোখ আছে খুব সুন্দর,মাইয়্যার চুখ আছে বহুত সুন্দর
সারা মুখে ভয় তার,গুডা মুকে ডর ইতার
ঠান্ডা পরিবেশ কিন্তু গরম লাগছে,টান্ডা পরিবেশ কিন্তু গরম ল্যার
সব দিকে কেমন ঘুরে দেখেছে,হক্কল মিক্কে ক্যান ঘুরি দেইক্কে
নিজেকে এমন করে প্রশ্ন করল,নিজেরে এন গরে ফশ্ন গরিল
আপনি আমার মত দেখতে,অনে অ্যাঁর নান চ্যাঁইতে
কেমন করে কে আপনি,ক্যান গরে কেডা অনে
কথা শুনে মেয়ে শব্দ করে বলল,হথা শুনি মাইয়্যা শব্দ গরে হইলো
নিজে নিজেকে চিনো না,নিজে নিজেরে ন চিনোছ
কেমন মেয়ে তুই নিজের চেহারা দেখাবি,ক্যান মাইয়্যা তুঁই নিজর চিয়ারা দেহাবি
ভুলে বসে আছে,ভুলে বৈ আছে
আমি তুই একটা মানুষ,অ্যাঁই তুঁই উজ্ঞো মানুষ
বিশ্বাস করি না আমি,বিশ্বাস ন গরি অ্যাঁই
সবাই আমার সামনে থেকে চলে যাবেন,বেজ্ঞুনে অ্যাঁর সামনে তুন চলি যাইবেন
আর আসবি না আমার সামনে,আর ন আবি অ্যাঁর সামনে
এসেছি কোথায় যে চলে যাবো,আইচ্ছি হডে যে চলি যাইয়্যুম
আমি তো তোর মধ্যে ছিলাম,অ্যাঁই তো তুঁর মাজে আসসিলাম
আমার কি করতে হবে,অ্যাঁর কি গরিতে অইব্যু
কখনো তোকে বলেছিল,হনঅত্তে তুঁরে হইয়্যিল
চেষ্টা করছি হচ্ছে না,চেষ্টা গইজ্জি ন অইলদে
সময় এসেছে সবকিছু জানলাম,সমত আইসসে বেক্কিছু জানিলাম
তোর জানতে মন চায় না তুই কে,তুঁর জানিত মন ন চায় তুঁই কেডা
তোর বাবা মা কোথায়,তুঁর বাপ মা হডে
আমি কিছু জানতে চাই না,অ্যাঁই কিসু জানিত ন চাই
আমার কাছে থেকে যাবি,অ্যাঁর হাছে তুন যাবি
কোথায় আপনি আমাকে বলেন,হডে অনে অ্যাঁরে কন
মেয়ে আমাকে মেরে ফেলবে,মাইয়্যা অ্যাঁরে মারি ফেলাইব্যু
চিৎকার করে কে ডাকে,চিৎকার গরে কেডা ডাহে
কি শুরু করল এসব,কি শুরু গরিল এগিন
