SL,Chittagong Language,Sylhet Language,Barisal Language,Standard Bangla Lanuguage,English Translation
407,কেক ফসন্দ গরি না,কেক ভালা ফাই না,কেক পছন্দ করি না,কেক পছন্দ করি না,Don’t like cake.
408,ফসন্দ গরি না,ভালা ফাই না,পছন্দ করি না,পছন্দ করি না,Don’t like.
409,কেক ফসন্দ না,কেক ভালা না,কেক পছন্দ না,কেক পছন্দ না,Don’t like cake.
410,এককানা ঘুমাইয়েরে লো,থুরা ঘুমাই যাও,এত্তুহানে ঘুমাইয়া লও ,একটু ঘুমিয়ে নাও,Take a nap.
411,ঘুমাইয়েরে লো,ঘুমাই যাও,ঘুমাইয়া লও ,ঘুমিয়ে নাও,Nap.
412,আই একা আছিলাম,আমি একলা আচলাম,মুই এল্লাহ আল্লাম,আমি একা ছিলাম,I was alone.
413,একা আছিলাম,একলা আচলাম,এল্লাহ আল্লাম,একা ছিলাম,Was alone.
414,আই আছিলাম,আমি আচলাম,মুই আল্লাম,আমি ছিলাম,I was.
415,আর লই আইও ,আমার লগে থাকৌকা ,মোর লগে আয়েন ,আমার সঙ্গে আসুন,Come with me.
416,লই আইও ,লগে থাকৌকা ,লগে আয়েন ,সঙ্গে আসুন,Come along.
417,ইবা রাগী গেলো গোয় ,তাইন রাগী গেছলা,হেয় চেইতা গেলেহ ,তিনি রেগে গেছিলেন,He was angry.
418,রাগী গেলো গোয় ,রাগী গেছলা,চেইতা গেলেহ ,রেগে গেছিলেন,Was angry.
419,ইবা গেলো গোয় ,তাইন গেছলা,হেয় গেলেহ ,তিনি গেছিলেন,He was.
420,আর হাত ইবা ধোইজ্জ ,আমার হাত ধরক্কা,মোর হাত্তা ধরেন,আমার হাতটা ধরুন,Hold my hand.
421,হাত ইবা ধোইজ্জ ,হাত ধরক্কা,হাত্তা ধরেন,হাতটা ধরুন,Hold my hand.
422,আই অবাক ওই গিয়িলাম,আমি অবাক ওই গেছলাম,মুই অবাক হিয়া গাল্লাহম ,আমি অবাক হয়ে গেছিলাম,I was surprised.
423,অবাক ওই গিয়িলাম,অবাক ওই গেছলাম,অবাক হিয়া গাল্লাহম ,অবাক হয়ে গেছিলাম,Was surprised.
424,ওই গিয়িলাম,ওই গেছলাম,হিয়া গাল্লাহম ,হয়ে গেছিলাম,Was.
425,আই অবাক,আমি অবাক,মুই অবাক,আমি অবাক,I am surprised.
426,আই নো আইস্সুম,আমি আইতাম নাই,মুই আমু না,আমি আসব না,I won’t come.
427,নো আইস্সুম,আইতাম নাই,আমু না,আসব না,Won’t come.
428,আই আইস্সুম,আমি আইতাম ,মুই আমু ,আমি আসব ,I will come.
429,আই নো হাইজ্জুম্ম,আমি হারতাম নাই,মুই থোগমু না,আমি হারবো না,I won’t lose.
430,নো হাইজ্জুম্ম,হারতাম নাই,থোগমু না,হারবো না,Won’t lose.
431,আই হাইজ্জুম্ম,আমি হারতাম ,মুই থোগমু,আমি হারবো ,I will lose.
432,আর আট টনটন গরের ,আমার হাতও বেদনা করের ,মোর হাতে ব্যথা করতেয়াছে ,আমার হাত ব্যাথা করছে,My hand hurts.
433,আট টনটন গরের ,হাতও বেদনা করের ,হাতে ব্যথা করতেয়াছে ,হাত ব্যাথা করছে,Hand hurts.
434,টনটন গরের ,বেদনা করের ,ব্যথা করতেয়াছে ,ব্যাথা করছে,Hurts.
435,আর আট টনটন ,আমার হাতও বেদনা ,মোর হাতে ব্যথা,আমার হাত ব্যাথা ,My hand hurts.
